Meta tags,Name,Description,Category,Price,Image
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.29', 'LocalName is TP419']","Kirkland Signature Variety Snack Box, 51-count","""
						  
								  	The 51-piece Kirkland Signature Variety Snack Box contains 7 varieties of individual, serving sized, Kirkland Signature, snacks perfect for business or home use. This salty and sweet snack selection is ideal for resale, packing a lunch, office or classroom snacks and more. The Kirkland Signature Variety Snack Box contains healthy grab-n-go treats for everyone to enjoy like granola and nut bars, trail mix, dried blueberries and assorted roasted nuts.
Product Assortment:
10 - Kirkland Signature Soft & Chewy Chocolate Chip Granola Bar, 0.85 oz bar
10 - Kirkland Signature Nut Bar with Cocoa Drizzle & Sea Salt, 1.4 oz bar
10 - Kirkland Signature Trail Mix, 2 oz bag
6 - Kirkland Signature Blueberries, 1.5 oz bag
5 - Kirkland Signature Dry Roasted and Salted Almonds, 1.6 oz bag
5 - Kirkland Signature Roasted and Salted Cashews, 1.6 oz bag
5 - Kirkland Signature Roasted and Salted Extra Crunchy Peanuts, 1.6 oz bag					
							  
				  	
""","Grocery, Household Essentials & Pet/Kirkland Signature Grocery",35.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1551282-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.29', 'LocalName is TP419']","Kirkland Signature Pecan Halves, 2 lbs","""

Pecan Halves
2 lb bag


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",16.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=203444-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.29', 'LocalName is TP419']","Walnut Pieces, 5 lbs","""
						  
								  	Walnut Pieces
Refrigerate after opening for optimum freshness
5 lb bag


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",--,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1495144-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.29', 'LocalName is TP419']","Pecan Pieces, 5 lbs","""
						  
								  	Pecan Pieces
Kosher
Refrigerate after opening for optimum freshness
5 lb bag					
							  
				  	
""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",39.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1495134-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.29', 'LocalName is TP419']","Hoody's Organic Honey Cashews 30 oz, 2-pack","""
						  
								  	Using minimally processed honey and sugar we add a touch of sweetness to the cashew’s unique, buttery flavor to create our honey cashews.
Only 4 ingredients:  wildflower honey, cane sugar, sea salt & cashews.
Includes:
2-pack, 30 oz.
Organic
4 ingredients


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",36.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1123322-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.24', 'LocalName is TP414']","Wonderful Pistachios, No Shell, Variety Pack, .75 oz, 24-count","""

Wonderful Pistachios
Roasted & Salted
No shell
Variety Pack: 10-Roasted & Salted, 7-Sea Salt & Vinegar, 7-Chili Roasted
.75 oz bag
24-count
More Information:
Pistachios are a plant based protein
Non-GMO


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",--,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1619064-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.28', 'LocalName is TP418']","Hampton Farms In-Shell Roasted Peanuts, Unsalted, 5 lbs","""

In-Shell Roasted Peanuts
Unsalted
5 lb bag
Packed with protein
Gluten free
Cholesterol free


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",--,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=35921-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.29', 'LocalName is TP419']","Hampton Farms In-Shell Roasted Peanuts, Salted, 3 oz, 48-count","""

In-Shell Roasted Peanuts
Salted
3 oz bag
48-count
More Information:
Gluten free
Non GMO
Suitable for vegan diet


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",17.59,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1636093-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.29', 'LocalName is TP419']","Kirkland Signature Dry Roasted Macadamia Nuts, 24 oz.","""

24 oz.
Product of the USA, Guatemala, Australia, South Africa, Kenya and Malawi
Perfect for snacks, baked goods, or sprinkled over favorite salad or dessert


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",21.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1195303-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.29', 'LocalName is TP419']","Sabritas Peanuts, Variety Pack, 1.625 oz, 30-count","""

Peanuts
Variety pack: 12-Hot, 6-Salt & Lime, 6-Spicy, 6-Japanese style
1.625 oz bag
30-count
More Information:
Kosher


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",10.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1153088-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.29', 'LocalName is TP419']","Planters, Salted Peanuts, 1 oz, 48-count","""
						  
								  	Planters Salted Peanuts let you easily satisfy any craving. With a legendary taste and satisfying crunch, Planters Peanuts are made with only three simple ingredients: peanuts, peanut oil and sea salt. Each peanut is finely seasoned with sea salt to enhance the roasted nut flavor. Our perfectly roasted peanuts have 7 grams of protein per serving (8% DV) and are a good source of vitamin E.  Planters Peanuts are the perfect on-the-go salty snack. Enjoy the traditional taste and crunch of a handful of roasted nuts as an easy bite. Each of the 48 individually sealed 1-ounce packs of peanuts are great for those keeping Kosher.
Planters Salted Peanuts are made with three simple ingredients: peanuts, peanut oil and sea salt
An easy snack with 7 grams of protein per serving (8% DV)
Our salted peanuts are a good source of Vitamin E
Great for those keeping Kosher
1 oz bags
48-count


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",9.09,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=7791-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.29', 'LocalName is TP419']","Planters Peanuts, Salted, 2.5 oz, 15-count","""
						  
								  	A Planters original, these salted peanuts are seasoned with pure sea salt  and are good source of , fiber, and vitamin E. Each peanut is carefully skinned and peeled and then finely seasoned with sea salt to enhance the natural nut flavor. - Available in an easy to open, snack-size bag so you can enjoy this salty treat anywhere.
Seasoned with pure sea salt
0g trans-fat
2.5 oz bags
15-count


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",8.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1359853-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.29', 'LocalName is TP419']","Kirkland Signature Honey Roasted Macadamia Nuts, 24 oz","""
						  
								  	Our 100% Hawaiian grown Macadamia Nuts are honey roasted by an artisanal small batch process in flamed kettles. A luxurious taste of Hawaii!
24 oz


""","Grocery, Household Essentials & Pet/Kirkland Signature Grocery",16.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1331840-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.16', 'LocalName is TP406']","Planters Dry Roasted Peanuts, 52 oz ","""
						  
								  	Planters Dry Roasted Peanuts are there for you in crunch time, satisfying your cravings with an irresistible snack. Every batch of our peanuts are dry roasted to perfection, then seasoned with salt to bring out the nutty flavor. Our salted peanuts make for a delicious snack that helps fill you up and keep you going. Each serving of Planters Peanuts are cholesterol free, have 0g trans fat and are Kosher-friendly. Try sharing our dry roast peanuts with family and friends. Stock the pantry for game nights with this 52-ounce canister of dry roasted nuts, or divvy the party size canister into small portions you can stash at work and in the car.
Planters Peanuts stop cravings with a satisfying crunch
Planters Dry Roasted Peanuts are seasoned with salt for an irresistible flavor
Each 1 oz. serving of Planters Peanuts has 7 grams of protein
0g trans fat with 14 grams of fat per serving
Cholesterol free
52 oz can


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",8.49,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=2826-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.29', 'LocalName is TP419']","Planters Peanuts, Heat, 2.25 oz, 15-count","""
						  
								  	Whenever you are struck with extreme hunger at home, office or while travel, Planters Heat Peanuts can help you crunch those cravings. This pack makes an ideal on-the-go-snack that's delicious and healthy. Besides, it comes in convenient and handy tubes that makes storage and use way too easier. Filled with dry roasted and seasoned peanuts, these tubes are perfect snacks for on the go without sacrificing great taste or good nutrition
Great for those keeping kosher
Heat flavored peanuts
2.25 oz bag
15-count


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",8.29,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1359792-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.29', 'LocalName is TP419']","Planters Cashews, Salted, 1.5 oz, 18-count","""
						  
								  	Planters Salted Cashews are a delicious snack that can be enjoyed anytime anywhere. Every package of these Planters Cashews adds sea salt for a distinct flavor combination. With a satisfying crunch and rich, delicate flavor, our roast cashews are an excellent choice for snacking. Roasted in the United States, each of the 18 1.5-ounce single serve bags of cashews are portable and can be enjoyed as a convenient snack at home, work, or as a quick way to refuel while you're on the go. Each bag of certified Kosher Planters Salted Cashews is sealed airtight in order to maintain great taste and help lock in flavor.
Each 1.5 oz. bag of cashews contains 0 grams trans fat per serving
Planters Cashews have 8 grams of protein per serving (12% DV)
Great for those keeping Kosher
1.5 oz bags
18-count


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",20.19,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=24289-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.29', 'LocalName is TP419']","Planters Peanuts, Honey Roasted, 2.5 oz, 15-count","""
						  
								  	Planters Honey Roasted Peanuts answer the call of snack time with sweet, salty goodness. The whole peanuts are dry roasted with honey and seasoned with salt for an irresistible crunch. Every serving of the honey coated peanuts helps curb hunger with protein and unsaturated fats, tiding you over until mealtime while satisfying your cravings for something sweet. Plus, these honey peanuts are cholesterol-free and Kosher, so you can share with anyone else who is feeling peckish. Stash this 2.5 ounce bag in the car for your next trip, or bring one along to work to be there for you during crunch time. Roasted and packed in the USA, these honey roast peanuts are packaged for freshness.
A sweet-and-salty Planters snack to quell cravings
400 calories per serving
Cholesterol-free and trans fat-free with 33 g. of fat
2.5 oz bags
15-count


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",8.79,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1359775-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.29', 'LocalName is TP419']","Corn Nuts, Original, 1.7 oz, 18-count","""
						  
								  	Corn Nuts Original Crunchy Corn Kernels deliver that delicious flavor you love along with the irresistible crunch you can't get enough of. Keep a pack of roasted corn nuts by your side to curb those snack cravings when on the go. Always a hit with your family, our corn nuts pair perfectly with everything and they're sprinkled with salt to enhance the flavor. Each 1.7-ounce bag of Original Corn Nuts contain 220 calories, and they're perfect for those keeping Kosher. Our 18-count box of individual snack size packs offers convenience so you can enjoy Corn Nuts whenever the time is right.
Corn Nuts Original Crunchy Corn Kernels are bold and full of flavor
Snack size packaging offers on-the-go convenience
Each package of Corn Nuts contain 220 calories
Made with crunchy roasted corn kernels
Each serving is individually packaged for easy storage
1.7 oz bags
18-count


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",9.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=113219-847&recipeName=680
Meta tags,Name,Description,Category,Price,Image
Meta tags,Name,Description,Category,Price,Image
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.48', 'LocalName is TP226']","Kirkland Signature Extra Fancy Mixed Nuts, 2.5 lbs","""

Limit 10 per member.


One 2.5 lb Jar of Mixed Nuts
Extra Fancy Grade
Kirkland Signature™ quality 
Includes: Almonds, Brazil Nuts, Cashews, Macadamia Nuts, Pecans


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",29.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=321063-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.44', 'LocalName is TP222']","Kirkland Signature Extra Fancy Mixed Nuts, Unsalted, 40 oz","""

Extra Fancy Mixed Nuts
Unsalted
Contains: cashews, almonds, pistachios, pecans
Kosher
40 oz resealable pouch


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",29.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1652577-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.34', 'LocalName is TP212']","Kirkland Signature In-Shell Pistachios, 3 lbs","""

48 oz.
California Pistachios 
In-shell, naturally opened 


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",29.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=545345-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.44', 'LocalName is TP222']","Hoody's Roasted In-Shell Peanuts, 5 lbs","""

5 lbs


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",29.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=4007-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.44', 'LocalName is TP222']","Kirkland Signature Extra Fancy Mixed Nuts, Salted, 40 oz","""

Extra Fancy Mixed Nuts
Salted
Contains: cashews, almonds, pecans, Brazil nuts, macadamia nuts
Kosher
40 oz resealable pouch


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",29.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1645578-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.32', 'LocalName is TP210']","Kirkland Signature Fancy Whole Cashews, Unsalted, 40 oz","""

Fancy Whole Unsalted Cashews
Kosher
40 oz resealable pouch


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",29.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1617507-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.32', 'LocalName is TP210']","Kirkland Signature Fancy Whole Cashews, 40 oz","""

Limit 10 per member.


40 oz
Fancy Whole Cashews with Sea Salt
Kirkland Signature


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",29.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1390413-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.34', 'LocalName is TP212']","Kirkland Signature Walnut Halves, 3 lbs","""

3 lb Bag
US #1 Grade Walnuts
20% Halves with Pieces
Great by themselves
Add to an entrée, baked goods, and salads
Delicious heart-healthy addition to any meal


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",29.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=36285-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.47', 'LocalName is TP225']","Kirkland Signature Supreme Whole Almonds, 3 lbs","""

3 lb bag
Supreme whole almonds
Steam pasteurized
US #1 


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",29.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=284601-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.32', 'LocalName is TP210']","Almonds, 5 lbs","""
						  
								  	Almonds
Refrigerate after opening for optimum freshness
5 lb bag


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",29.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1495140-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.44', 'LocalName is TP222']","Hoody's Roasted In-Shell Peanuts, Salted, 80 oz.","""

80 oz. 


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",29.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=4106-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.47', 'LocalName is TP225']","Sliced Almonds, 5 lbs","""

Sliced Almonds
5 lb bag
Refrigerate after opening for optimum freshness


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",29.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1495072-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.44', 'LocalName is TP222']","Hampton Farms In-Shell Roasted Peanuts, Salted, 5 lbs","""

In-Shell Roasted Peanuts
Salted
Packed with protein
Gluten free
Cholesterol free
5 lbs


""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",29.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=144758-847&recipeName=680
"['currentBuildNumber is 3.0.59624.0', 'currentSolrBuildNumber is 3.0.33624.0', 'ServerName is www.costco.com ', 'LocalAddress is xxx.xxx.xxx.47', 'LocalName is TP225']","Kirkland Signature Butter Toffee Cashews, 24 oz","""



Butter toffee flavored cashews


Kosher


24 oz resealable pouch




""","Grocery, Household Essentials & Pet/Snacks/Nuts & Seeds",29.99,https://images.costco-static.com/ImageDelivery/imageService?profileId=12026540&itemId=1510336-847&recipeName=680
